effect,estimate,conf_low,conf_high,p_value
Judge score: age,-0.04549593744202493,-0.04972837723782441,-0.04126349764622545,1.5205919751536604e-91
Fan support: age,-0.0005112902777342566,-0.0006613250299672517,-0.0003612555255012614,2.9531007132987365e-11
Survival hazard: age,0.032650829828218236,0.02443020877373262,0.04087145088270385,6.9920394790551245e-15
Judge score: athlete,-0.33324831573074293,-0.4717581192029119,-0.19473851225857394,2.5049101958076317e-06
Judge score: model,-0.8679130857682258,-1.1836364284211045,-0.5521897431153471,7.632635390081798e-08
Fan support: TV personality,-0.009597251180270187,-0.01487050256302572,-0.0043239997975146535,0.00036586315461940394
Fan support: radio personality,-0.015574306071375534,-0.03858450772772673,0.007435895584975663,0.18454196607634293
