model,term,estimate,conf_low,conf_high,p_value
judge_score_ols,Intercept,9.797792695771378,9.609664219714015,9.98592117182874,0.0
judge_score_ols,C(celebrity_industry)[T.Astronaut],-1.8247843670785835,-3.32688342384446,-0.322685310312707,0.0172838207200513
judge_score_ols,C(celebrity_industry)[T.Athlete],-0.33324831573074293,-0.4717581192029119,-0.19473851225857394,2.5049101958076317e-06
judge_score_ols,C(celebrity_industry)[T.Beauty Pagent],-1.8572397807289796,-3.3502731156552583,-0.36420644580270056,0.01478485872504503
judge_score_ols,C(celebrity_industry)[T.Comedian],-0.295953705937951,-0.6322260939133912,0.04031868203748917,0.08450904241350053
judge_score_ols,C(celebrity_industry)[T.Con artist],-2.463093426852233,-4.289888590983434,-0.6362982627210318,0.008244418359400032
judge_score_ols,C(celebrity_industry)[T.Conservationist],0.04149974613428942,-0.744783221989791,0.8277827142583698,0.9175802205502414
judge_score_ols,C(celebrity_industry)[T.Entrepreneur],-0.9410251756783926,-1.5579257915353772,-0.32412455982140786,0.002804777503145394
judge_score_ols,C(celebrity_industry)[T.Fashion Designer],0.1029148000518798,-1.1974709865897626,1.4033005866935222,0.8766882257751463
judge_score_ols,C(celebrity_industry)[T.Fitness Instructor],-0.33843082274362535,-1.1593170860516582,0.4824554405644075,0.41893038999260246
judge_score_ols,C(celebrity_industry)[T.Journalist],-2.1887518666146715,-4.020540463748654,-0.35696326948068924,0.019203576196756812
judge_score_ols,C(celebrity_industry)[T.Magician],-1.8865080113456938,-3.7140041363756726,-0.059011886315714746,0.04305180471478352
judge_score_ols,C(celebrity_industry)[T.Military],-0.5847638902293719,-1.3710468583534483,0.20151907789470447,0.14487753966443145
judge_score_ols,C(celebrity_industry)[T.Model],-0.8679130857682258,-1.1836364284211045,-0.5521897431153471,7.632635390081798e-08
judge_score_ols,C(celebrity_industry)[T.Motivational Speaker],-0.2839267601856828,-1.1049423135757337,0.5370887932043682,0.49776486973313383
judge_score_ols,C(celebrity_industry)[T.Musician],0.4959146982637076,-0.32542480731801937,1.3172542038454345,0.23654577139036556
judge_score_ols,C(celebrity_industry)[T.News Anchor],-0.11302109285655115,-0.7449829038554094,0.5189407181423071,0.7258571399811832
judge_score_ols,C(celebrity_industry)[T.Politician],-1.5394825878159395,-2.2143291487055374,-0.8646360269263414,8.02206911109221e-06
judge_score_ols,C(celebrity_industry)[T.Producer],0.582437841970979,-0.20060269582614276,1.365478379768101,0.14481865304744093
judge_score_ols,C(celebrity_industry)[T.Racing Driver],0.08817018624401603,-0.3763640663798701,0.5527044388679021,0.7097937248347005
judge_score_ols,C(celebrity_industry)[T.Radio Personality],-1.1548762887711663,-1.78668849977242,-0.5230640777699127,0.0003440493114152427
judge_score_ols,C(celebrity_industry)[T.Singer/Rapper],-0.14123846930268028,-0.29698898310383615,0.014512044498475596,0.07549345471307872
judge_score_ols,C(celebrity_industry)[T.Social Media Personality],-0.06989321942619536,-0.3977666139208393,0.25798017506844856,0.6759854767072335
judge_score_ols,C(celebrity_industry)[T.Social media personality],0.08577646950310602,-0.6997577269279984,0.8713106659342105,0.830475076081179
