threshold_label,threshold_quantile,tau,gray_zone_trigger_rate,proposed_changes_percent_rate,proposed_matches_observed_rate,modeled_weeks
No gray zone,0.0,,0.0,0.0,1.0,261
5th pct.,0.05,9.851082459697708e-06,0.5134099616858238,0.45977011494252873,0.5402298850574713,261
10th pct.,0.1,1.1520201033712875e-05,0.5402298850574713,0.45977011494252873,0.5402298850574713,261
25th pct.,0.25,0.003539060107463035,0.6168582375478927,0.45977011494252873,0.5402298850574713,261
50th pct.,0.5,0.008402535580368353,0.7432950191570882,0.45977011494252873,0.5402298850574713,261
75th pct.,0.75,0.014976373838188312,0.8697318007662835,0.45977011494252873,0.5402298850574713,261
90th pct.,0.9,0.025258663315184192,0.946360153256705,0.45977011494252873,0.5402298850574713,261
