celebrity_name,season,modeled_weeks,mean_judge_rank,mean_fan_rank,mean_fan_rescue_gap,max_controversy_index,mean_fan_share,final_placement,results
Bristol Palin,15,4,10.5,4.25,6.25,11.0,0.09328991767273354,9,Eliminated Week 4
Bobby Bones,27,7,7.285714285714286,4.857142857142857,2.4285714285714284,7.0,0.11154070935947182,1,1st Place
Bristol Palin,11,9,6.222222222222222,3.888888888888889,2.3333333333333335,7.0,0.1436991971878791,3,3rd Place
Billy Ray Cyrus,4,7,5.857142857142857,4.0,1.8571428571428572,5.0,0.13545005435147534,5,Eliminated Week 8
Jerry Rice,2,7,4.857142857142857,4.142857142857143,0.7142857142857143,4.0,0.1607737343447066,2,2nd Place
