season_era,modeled_weeks,mean_active,rank_percent_diff_rate,fan_override_rate,mean_width,median_margin
S1-S10,78,7.743589743589744,0.2692307692307692,0.5769230769230769,0.8578078557476874,1.4375248616624314e-05
S11-S20,81,8.37037037037037,0.2222222222222222,0.6172839506172839,0.8686995509632273,5.9861742748856805e-06
S21-S30,70,9.214285714285714,0.34285714285714286,0.6714285714285714,0.8529050416618816,1.3551074251438866e-05
S31-S34,32,10.125,0.1875,0.75,0.877141298983974,1.8594832715268517e-08
