metric,value
raw_rows,421.0
raw_columns,53.0
seasons,34.0
panel_rows,4631.0
active_contestant_weeks,2777.0
elimination_event_rows,343.0
single_elimination_rows,221.0
multi_elimination_rows,82.0
no_elimination_rows,40.0
modeled_elimination_weeks,261.0
percent_reproduction_rate,1.0
bottom_two_hit_rate,1.0
mean_fan_share_width,0.8622434898856701
outcome_difference_rate,0.26436781609195403
fan_override_rate,0.6360153256704981
gray_zone_tau,0.003539060107463035
gray_zone_trigger_rate,0.6168582375478927
rank_rule_exact_match_rate,0.735632183908046
judge_only_exact_match_rate,0.36398467432950193
top_fan_rescue_gap,15.0
max_controversy_index,15.0
gray_zone_90pct_trigger_rate,0.946360153256705
